open_ngc_name,English,Español
NGC3587,Owl Nebula,Nebulosa del Búho
NGC3766,Pearl Cluster,Cúmulo de las Perlas
NGC3918,Blue Planetary,Planetaria Azul
NGC3928,Miniature Spiral,Espiral Miniatura
NGC4038,Antennae Galaxies,Galaxia Antenas
NGC4039,Antennae Galaxies,Galaxia Antenas
NGC4194,Medusa Galaxy Merger,Fusión de Galaxias Medusa
NGC4254,"Coma Pinwheel, Virgo Cluster Pinwheel",Molinillo de Coma
NGC4435,Eyes,Ojos
NGC4438,Eyes,Ojos
NGC4486,Virgo Galaxy,Galaxia de Virgo
NGC4565,Needle Galaxy,Galaxia de la Aguja
NGC4567,"Butterfly Galaxies, Siamese Twins","Galaxias Mariposa, Siamesas"
NGC4568,"Butterfly Galaxies, Siamese Twins","Galaxias Mariposa, Siamesas"
NGC4594,Sombrero Galaxy,Galaxia del Sombrero
NGC4609,Coalsack Cluster,Cúmulo del Saco de Carbón
NGC4631,Whale Galaxy,Galaxia de la Ballena
NGC4651,Umbrella Galaxy,Galaxia del Paraguas
NGC4676,Mice Galaxy,Galaxia de los Ratones
NGC4755,"Herschel's Jewel Box, kappa Crucis Cluster","Cofre de Joyas, Cúmulo de kappa Crucis"
NGC4826,"Black Eye Galaxy, Evil Eye Galaxy","Galaxia del Ojo Negro, Galaxia del Mal de Ojo"
NGC4990,Cocoon Galaxy,Galaxia del Capullo
NGC5055,Sunflower Galaxy,Galaxia del Girasol
NGC5128,Centaurus A,Centaurus A
NGC5139,Omega Centauri,Omega Centauri
NGC5194,Whirlpool Galaxy,Galaxia Remolino
NGC5236,Southern Pinwheel Galaxy,Galaxia del Molinete Austral
NGC6087,S Normae Cluster,Cúmulo de S Normae
NGC6188,Firebird Nebula,Nebulosa del Pájaro de Fuego
NGC6205,Hercules Globular Cluster,Cúmulo de Hércules
NGC6302,"Bug Nebula, Butterfly Nebula",Nebulosa del Bicho
NGC6309,Box Nebula,Nebulosa de la Caja
NGC6357,the War and Peace Nebula,Nebulosa de la Guerra y la Paz
NGC6369,Little Ghost Nebula,Nebulosa Pequeño Fantasma
NGC6405,Butterfly Cluster,Cúmulo de la Mariposa
NGC6445,Little Gem,Pequeña Gema
NGC6475,Ptolemy's Cluster,Cúmulo de Ptolomeo
NGC6514,Trifid Nebula,Nebulosa Trífida
NGC6523,Lagoon Nebula,Nebulosa de la Laguna
NGC6537,Red Spider Nebula,Nebulosa de la Araña Roja
NGC6543,Cat's Eye Nebula,Nebulosa Ojo de Gato
NGC6611,Eagle Nebula,Nebulosa del Águila
NGC6618,"Checkmark Nebula, Lobster Nebula, Swan Nebula, omega Nebula",Nebulosa del Cisne
NGC6705,Wild Duck Cluster,Cúmulo Patos Salvajes
NGC6720,Ring Nebula,Nebulosa del Anillo
NGC6741,Phantom Streak Nebula,Nebulosa de la Raya Fantasma
NGC6818,Little Gem Nebula,Nebulosa Pequeña Gema
NGC6819,Foxhead Cluster,Cúmulo Cabeza de Zorro
NGC6822,Barnard's Galaxy,Galaxia de Barnard
NGC6826,Blinking Planetary,Planetaria Parpadeante
NGC6853,Dumbbell Nebula,Nebulosa de las Pesas
NGC6888,Crescent Nebula,Nebulosa Creciente
NGC6905,Blue Flash Nebula,Nebulosa Flash Azul
NGC6946,Fireworks Galaxy,Galaxia Fuegos Artificiales
NGC6960,"Veil Nebula, Filamentary Nebula, Western Veil",Nebulosa del Velo
NGC6992,"Eastern Veil, Network Nebula",Velo Oriental
NGC6995,"Eastern Veil, Network Nebula",Velo Oriental
NGC7000,North America Nebula,Nebulosa Norteamérica
NGC7009,Saturn Nebula,Nebulosa Saturno
NGC7023,Iris Nebula,Nebulosa del Iris
NGC7114,Schmidt's Nova Cygni,Nova Cygni de Schmidt
NGC7293,Helix Nebula,Nebulosa Hélice
NGC7635,Bubble Nebula,Nebulosa de la Burbuja
NGC7662,Copeland's Blue Snowball,Bola de Nieve Azul de Copeland
B033,Horsehead Nebula,Nebulosa Cabeza de Caballo
C009,Cave Nebula,Nebulosa de la Cueva
C014,"Double Cluster, h & chi Persei",Cúmulo Doble
C041,Hyades,Híades
C099,Coalsack Nebula,Saco de Carbón
Cl399,"Brocchi's Cluster, Al Sufi's Cluster, Coathanger Asterism",Cúmulo de Brocchi
ESO056-115,"Large Magellanic Cloud, Nubecula Major",Gran Nube de Magallanes
ESO097-013,Circinus Galaxy,Galaxia de Circinus
ESO270-017,Fourcade-Figueroa,Fourcade-Figueroa
ESO351-030,Sculptor Dwarf Elliptical,Enana Elíptica de Sculptor
ESO356-004,Fornax Dwarf Spheroidal,Enana Esferoidal de Fornax
HCG079,Seyfert's Sextet,Sexteto de Seyfert
HCG092,Stephan's Quintet,Quinteto de Stephan
Mel022,Pleiades,Pléyades
Mel111,Coma Star Cluster,Cúmulo Estelar de Coma
PGC000143,Wolf-Lundmark-Melotte Galaxy,Galaxia Wolf-Lundmark-Melotte
PGC029653,Sextans A,Sextans A
PGC088608,Sextans Dwarf Spheroidal,Enana Esferoidal de Sextans
UGC05373,Sextans B,Sextans B
UGC05470,Leo I,Leo I
